# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Mon Mar 04 15:04:43 AEDT 2024 [seed=1709525081974]
# /home/sebastiand/Dropbox/projects_WORKING/BETS_prior_sensitivity/cholera/cholera_fixed_phi.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	constant.popSize	kappa	alpha	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
0	-17699.426201699138	-17699.426201699138	-1.6653345369377354E-15	3168.8747125462132	-1158.8747125462132	16721.8716682885	1000.0	2.0	0.5	1.0	1.0	-1.6653345369377354E-15	0.0	-964.8572578610922
25000	-967.4149125069573	-967.4149125069573	-5.329070518200756E-15	983.2615531065015	1026.7384468934983	8697.276580934424	1000.0	1.948532305054745	0.5727530657535642	4.114232654658907E-5	4.11423265465891E-5	-5.329070518200756E-15	0.0	-958.957420722998
50000	-962.1339287235794	-962.1339287235794	-4.662936703425661E-15	1164.5434907666731	845.4565092333269	8760.012237441748	1000.0	8.501162205069448	1.5056351014820442	7.656977153391257E-5	7.656977153391254E-5	-4.662936703425661E-15	0.0	-949.3370798358781
75000	-955.8755777141564	-955.8755777141564	-5.662137425588305E-15	1935.6295392137213	74.37046078627873	11337.232852243566	1000.0	3.8305224678430534	0.4316722136880263	3.0764381740039667E-6	3.076438174003968E-6	-5.662137425588305E-15	0.0	-948.774264624938
100000	-968.9477324321509	-968.9477324321509	-2.9976021664879242E-15	3774.4279050526598	-1764.4279050526598	14735.864031128312	1000.0	1.6434591979291984	0.017716878427996942	1.9384661427832477E-5	1.938466142783248E-5	-2.9976021664879242E-15	0.0	-962.4371194154942
125000	-968.4145726551848	-968.4145726551848	-5.329070518200756E-15	837.5425400050065	1172.4574599949935	8860.573399237259	1000.0	0.5465063317187054	0.3696069216758305	1.0610577100803416E-5	1.0610577100803412E-5	-5.329070518200756E-15	0.0	-961.7973152950516
150000	-967.0013024093847	-967.0013024093847	-3.996802888650567E-15	6304.199613010189	-4294.199613010189	20509.768016536647	1000.0	0.9945153433624316	0.7973267423101068	5.874325108143509E-6	5.874325108143511E-6	-3.996802888650567E-15	0.0	-960.1186920601248
175000	-964.5283865134494	-964.5283865134494	-4.996003610813208E-15	1387.1796984302862	622.8203015697138	10197.432742886578	1000.0	2.1482600575958095	0.6732990826047979	8.071585868720918E-5	8.071585868720923E-5	-4.996003610813208E-15	0.0	-955.0673115013858
200000	-955.964369339069	-955.964369339069	-5.329070518200756E-15	892.3368726201685	1117.6631273798316	8484.323348392874	1000.0	1.2442264570349086	0.4328532771018117	6.461817595077106E-7	6.461817595077106E-7	-5.329070518200756E-15	0.0	-950.4920820517327
225000	-954.3844283007998	-954.3844283007998	-4.662936703425661E-15	2314.581491570835	-304.58149157083517	11625.289125314615	1000.0	2.9202990613305992	1.031541194160985	5.084319634392664E-6	5.084319634392664E-6	-4.662936703425661E-15	0.0	-946.1278184609803
250000	-973.6911797187571	-973.6911797187571	-4.662936703425661E-15	914.0511688212775	1095.9488311787225	8886.658194257	1000.0	5.021748646698683	1.3830232337637285	5.3919147827121255E-5	5.3919147827121214E-5	-4.662936703425661E-15	0.0	-962.3355740371127
275000	-966.3398361486983	-966.3398361486983	-4.996003610813208E-15	1816.486283761088	193.5137162389119	10337.121684962991	1000.0	9.734190313015489	0.5647824578346803	2.8267833218933955E-5	2.8267833218933955E-5	-4.996003610813208E-15	0.0	-956.1441001018068
300000	-979.0510330657158	-979.0510330657158	-6.661338147750946E-15	3440.111693929291	-1430.111693929291	15301.661128924019	1000.0	0.3651520960904653	0.43677512431428434	1.5463904517194245E-5	1.546390451719425E-5	-6.661338147750946E-15	0.0	-972.1788834241635
325000	-952.4085138341752	-952.4085138341752	-4.329869796038114E-15	817.7836088158848	1192.2163911841153	8362.477861738782	1000.0	0.1999796520455147	0.36534607014053355	1.4503634209194928E-6	1.4503634209194926E-6	-4.329869796038114E-15	0.0	-946.4974988240173
350000	-961.6538506186533	-961.6538506186533	-5.995204332975852E-15	4194.962530313174	-2184.9625303131743	15784.719252016223	1000.0	1.7286349595430812	0.35896785475808923	1.822300026874702E-9	1.822300026874702E-9	-5.995204332975852E-15	0.0	-959.3817314304728
375000	-977.1566128916129	-977.1566128916129	-4.662936703425661E-15	2528.3566386237203	-518.3566386237203	12822.449406573052	1000.0	3.1552828387754537	0.9759672493475737	2.1139636659299355E-5	2.113963665929936E-5	-4.662936703425661E-15	0.0	-968.0528493163382
