,SC_het,SC_iso,UCLD_het,UCLD_iso,BF_SC,BF_UCLD,,
heterochronous_bounds_1,-5107.403156,-5220.113806,-5109.513471,-5176.026489,112.7106501,66.51301793,,
heterochronous_bounds_2,-5113.661092,-5237.445186,-5116.682014,-5186.452863,123.7840937,69.7708495,,
heterochronous_bounds_3,-4600.990991,-4736.064401,-4603.842278,-4682.571783,135.0734103,78.72950541,,
heterochronous_bounds_4,-4301.506197,-4435.243012,-4304.841576,-4377.999008,133.7368148,73.15743165,,
heterochronous_bounds_5,-5337.889206,-5460.085215,-5341.237567,-5420.067723,122.1960085,78.83015663,,
heterochronous_bounds_6,-5879.535307,-6007.647787,-5882.948008,-5956.334211,128.1124796,73.38620225,,
heterochronous_bounds_7,-5949.103236,-6051.642852,-5952.942973,-6023.176848,102.5396167,70.23387454,,
heterochronous_bounds_8,-5292.011261,-5414.107301,-5295.866091,-5372.451762,122.0960393,76.5856708,,
heterochronous_bounds_9,-5437.842352,-5548.581794,-5441.399922,-5510.672635,110.7394426,69.2727128,het_bounds_SC,het_bounds_UCLD
heterochronous_bounds_10,-5875.230329,-5976.922735,-5879.074843,-5945.912321,101.6924065,66.83747753,10,10
heterochronous_unbound_1,-5105.135417,-5220.113806,-5108.505209,-5176.026489,114.9783886,67.52127968,,
heterochronous_unbound_2,-5112.019314,-5237.445186,-5114.858456,-5186.452863,125.4258719,71.59440721,,
heterochronous_unbound_3,-4598.854183,-4736.064401,-4602.169579,-4682.571783,137.2102177,80.40220456,,
heterochronous_unbound_4,-4300.286473,-4435.243012,-4303.140614,-4377.999008,134.9565385,74.85839383,,
heterochronous_unbound_5,-5336.118265,-5460.085215,-5340.022083,-5420.067723,123.9669493,80.04564089,,
heterochronous_unbound_6,-5878.080744,-6007.647787,-5881.695409,-5956.334211,129.5670428,74.63880111,,
heterochronous_unbound_7,-5947.648479,-6051.642852,-5951.825978,-6023.176848,103.9943737,71.35087022,,
heterochronous_unbound_8,-5290.294532,-5414.107301,-5293.614804,-5372.451762,123.8127681,78.83695768,,
heterochronous_unbound_9,-5436.207439,-5548.581794,-5439.809296,-5510.672635,112.3743553,70.86333846,het_unbound_SC,het_unbound_UCLD
heterochronous_unbound_10,-5874.047352,-5976.922735,-5877.242532,-5945.912321,102.8753832,68.66978891,10,10
ultrametric_bounds_1,-3776.688108,-3726.339116,-3764.242122,-3729.920611,-50.34899137,-34.32151062,,
ultrametric_bounds_2,-3953.41125,-3912.67703,-3947.935006,-3916.467548,-40.73421999,-31.46745808,,
ultrametric_bounds_3,-3883.255493,-3840.135828,-3882.464184,-3844.202228,-43.11966548,-38.26195616,,
ultrametric_bounds_4,-4328.048886,-4206.843952,-4259.553356,-4209.843167,-121.2049349,-49.71018876,,
ultrametric_bounds_5,-3764.828874,-3696.265474,-3730.29547,-3699.664423,-68.56340029,-30.6310475,,
ultrametric_bounds_6,-4137.671432,-4040.566797,-4081.810967,-4043.728388,-97.10463512,-38.08257852,,
ultrametric_bounds_7,-4457.767143,-4280.812309,-4323.766537,-4283.528209,-176.9548342,-40.2383274,,
ultrametric_bounds_8,-3788.700461,-3679.784496,-3713.724488,-3682.828892,-108.915965,-30.89559559,,
ultrametric_bounds_9,-4891.629765,-4702.819194,-4747.975165,-4705.535996,-188.8105715,-42.43916955,iso_bounds_SC,iso_bounds_UCLD
ultrametric_bounds_10,-3370.496473,-3336.756736,-3373.753771,-3340.354862,-33.73973734,-33.39890855,0,0
ultrametric_unbound_1,-3743.658113,-3726.339116,-3749.635483,-3729.920611,-17.31899669,-19.71487207,,
ultrametric_unbound_2,-3930.593563,-3912.67703,-3936.473852,-3916.467548,-17.91653386,-20.00630352,,
ultrametric_unbound_3,-3870.272096,-3840.135828,-3875.591345,-3844.202228,-30.13626808,-31.38911728,,
ultrametric_unbound_4,-4234.559455,-4206.843952,-4240.462727,-4209.843167,-27.71550343,-30.61955978,,
ultrametric_unbound_5,-3716.300918,-3696.265474,-3721.1899,-3699.664423,-20.03544423,-21.5254774,,
ultrametric_unbound_6,-4061.684321,-4040.566797,-4067.639345,-4043.728388,-21.11752446,-23.91095736,,
ultrametric_unbound_7,-4306.690946,-4280.812309,-4311.535549,-4283.528209,-25.87863743,-28.00733953,,
ultrametric_unbound_8,-3692.668149,-3679.784496,-3699.315174,-3682.828892,-12.88365301,-16.48628132,,
ultrametric_unbound_9,-4726.490798,-4702.819194,-4732.215169,-4705.535996,-23.67160434,-26.6791738,iso_unbound_SC,iso_unbound_UCLD
ultrametric_unbound_10,-3358.217501,-3336.756736,-3364.361768,-3340.354862,-21.46076504,-24.00690616,0,0
